sample	name	Biosample
SJSA1_ID_368	SJSA1	SJSA1_ENCFF726YVN_ENCFF177HIF_ENCFF174GEJ_ENCFF238CFV
SJSA1_ID_368	SJSA1	SJSA1_ENCFF726YVN_ENCFF177HIF_ENCFF255DYN_ENCFF204JPE_ENCFF174GEJ_ENCFF238CFV
skeletal_muscle_myoblast_ID_2714	skeletal_muscle_myoblast	skeletal_muscle_myoblast_ENCFF372SZT_ENCFF702NBI
thoracic_aorta_ID_2344	thoracic_aorta	thoracic_aorta_ENCFF818DQZ_ENCFF435WUP_ENCFF111DOD
thymus_ID_2379	thymus	thymus_ENCFF931TGW_ENCFF236OOL_ENCFF619BOF_ENCFF865ZQX_ENCFF237PIY_ENCFF749AUA_ENCFF997JMS_ENCFF725SKI_ENCFF706IXZ_ENCFF270ODA_ENCFF874DOS
thyroid_gland_ID_2682	thyroid_gland	thyroid_gland_ENCFF355MYX_ENCFF086CGV_ENCFF657ZLL_ENCFF465MSB_ENCFF915JRY_ENCFF455MBJ_ENCFF385GLV_ENCFF073XLL
tibial_nerve_ID_2180	tibial_nerve	tibial_nerve_ENCFF647TLU_ENCFF430ORU
tibial_nerve_ID_2180	tibial_nerve	tibial_nerve_ENCFF647TLU_ENCFF234VOE_ENCFF430ORU_ENCFF216XWX_ENCFF125NBN_ENCFF354DHR
transverse_colon_ID_2733	transverse_colon	transverse_colon_ENCFF568ZEU_ENCFF650EYC_ENCFF991EWH_ENCFF288SBC_ENCFF735OJF_ENCFF318BCO_ENCFF127ZKN
trophoblast_cell_ID_2596	trophoblast_cell	trophoblast_cell_ENCFF139OOY_ENCFF235GOT_ENCFF102QDE
upper_lobe_of_left_lung_ID_2310	upper_lobe_of_left_lung	upper_lobe_of_left_lung_ENCFF824KSF_ENCFF125WQU_ENCFF557TCY_ENCFF231SIZ_ENCFF006JWD_ENCFF909FQD_ENCFF467XLG_ENCFF325LKK_ENCFF403RPA_ENCFF637XGS_ENCFF201IPM
uterus_ID_2745	uterus	uterus_ENCFF130PVC_ENCFF103IKL
uterus_ID_2745	uterus	uterus_ENCFF130PVC_ENCFF914KBU_ENCFF103IKL_ENCFF287FSH
WERI-Rb-1_ID_2137	WERI-Rb-1	WERI-Rb-1_ENCFF639GFQ_ENCFF463ZHF_ENCFF574GEM
